Tabla:`azpr-tdata-mx-fin-8303.ba_finance_mx.chain_sales_mx`

Estructura:

table_name	column_name	data_type	is_nullable
chain_sales_mx	sku	INT64	YES
chain_sales_mx	store	INT64	YES
chain_sales_mx	trans	INT64	YES
chain_sales_mx	calendar_date	DATETIME	YES
chain_sales_mx	type_sale	STRING	YES
chain_sales_mx	promo_flag	STRING	YES
chain_sales_mx	quantity	INT64	YES
chain_sales_mx	equalized_units	NUMERIC	YES
chain_sales_mx	net_sales	NUMERIC	YES
chain_sales_mx	net_cost	NUMERIC	YES
chain_sales_mx	net_cost_adj	NUMERIC	YES
chain_sales_mx	gross_profit	NUMERIC	YES
chain_sales_mx	gross_profit_adj	NUMERIC	YES
chain_sales_mx	regular_sales	NUMERIC	YES
chain_sales_mx	regular_sales_adj	NUMERIC	YES
chain_sales_mx	deal_id	INT64	YES
chain_sales_mx	deal_desc	STRING	YES
chain_sales_mx	customer_type	STRING	YES
chain_sales_mx	customer_number	INT64	YES


muestra data 

sku	store	trans	calendar_date	type_sale	promo_flag	quantity	equalized_units	net_sales	net_cost	net_cost_adj	gross_profit	gross_profit_adj	regular_sales	regular_sales_adj	deal_id	deal_desc	customer_type	customer_number
912741	10300	29188	2026-04-23T00:00:00	99	N	-1	-1	-368.8	0	0	-368.8	-368.8	0	0	0	Sin deal	DIY	0
912741	10195	98551	2026-04-23T00:00:00	99	N	-1	-1	-137.7	0	0	-137.7	-137.7	0	0	0	Sin deal	DIY	0
912741	10283	68606	2026-04-23T00:00:00	99	N	-1	-1	-13.2	0	0	-13.2	-13.2	0	0	0	Sin deal	DIY	0
912741	10331	28201	2026-04-23T00:00:00	99	N	-1	-1	-159.9	0	0	-159.9	-159.9	0	0	0	Sin deal	DIY	0
912741	10312	7979	2026-04-23T00:00:00	99	N	-1	-1	-17.2	0	0	-17.2	-17.2	0	0	0	Sin deal	DIY	0
912741	10159	175262	2026-04-23T00:00:00	99	N	-1	-1	-124	0	0	-124	-124	0	0	0	Sin deal	DIY	0
912741	10312	7875	2026-04-23T00:00:00	99	N	-1	-1	-5.4	0	0	-5.4	-5.4	0	0	0	Sin deal	DIY	0
912741	10157	137892	2026-04-23T00:00:00	99	N	-1	-1	-9.8	0	0	-9.8	-9.8	0	0	0	Sin deal	DIY	0
912741	10107	188072	2026-04-23T00:00:00	99	N	-1	-1	-51.6	0	0	-51.6	-51.6	0	0	0	Sin deal	DIY	0
912741	9640	51236	2026-04-23T00:00:00	99	N	-1	-1	-29.9	0	0	-29.9	-29.9	0	0	0	Sin deal	DIY	0
